2025-07-10 15:18:19,804 - INFO - Starting raw disk scan of D:\
2025-07-10 15:18:19,804 - INFO - Performing file system scan of D:\
2025-07-10 15:18:20,668 - INFO - Recovered file: recovered_000000_20250710_151820.zip (ZIP Archive/Office Document, 115936656 bytes)
2025-07-10 15:18:20,694 - INFO - Recovered file: recovered_000001_20250710_151820.ini (Unknown File Type, 129 bytes)
2025-07-10 15:18:20,702 - INFO - Recovered file: recovered_000002_20250710_151820.zip (ZIP Archive/Office Document, 46400 bytes)
2025-07-10 15:18:20,707 - INFO - Recovered file: recovered_000003_20250710_151820.pdf (PDF Document, 173632 bytes)
2025-07-10 15:18:20,721 - INFO - Recovered file: recovered_000004_20250710_151820.zip (ZIP Archive/Office Document, 48675 bytes)
2025-07-10 15:18:20,734 - INFO - Recovered file: recovered_000005_20250710_151820.zip (ZIP Archive/Office Document, 32065 bytes)
2025-07-10 15:18:20,743 - INFO - Recovered file: recovered_000006_20250710_151820.zip (ZIP Archive/Office Document, 32073 bytes)
2025-07-10 15:18:20,756 - INFO - Recovered file: recovered_000007_20250710_151820.zip (ZIP Archive/Office Document, 49428 bytes)
2025-07-10 15:18:20,767 - INFO - Recovered file: recovered_000008_20250710_151820.zip (ZIP Archive/Office Document, 49428 bytes)
2025-07-10 15:18:20,774 - INFO - Recovered file: recovered_000009_20250710_151820.tmp (Unknown File Type, 49428 bytes)
2025-07-10 15:18:20,781 - INFO - Recovered file: recovered_000010_20250710_151820.zip (ZIP Archive/Office Document, 76744 bytes)
2025-07-10 15:18:20,785 - INFO - Recovered file: recovered_000011_20250710_151820.docx (Unknown File Type, 80133 bytes)
2025-07-10 15:18:20,795 - INFO - Recovered file: recovered_000012_20250710_151820.zip (ZIP Archive/Office Document, 60933 bytes)
2025-07-10 15:18:20,801 - INFO - Recovered file: recovered_000013_20250710_151820.zip (ZIP Archive/Office Document, 60933 bytes)
2025-07-10 15:18:20,897 - INFO - Recovered file: recovered_000014_20250710_151820.rar (RAR Archive (v1.5), 15339024 bytes)
2025-07-10 15:18:20,916 - INFO - Recovered file: recovered_000015_20250710_151820.rar (RAR Archive (v5.0), 4046848 bytes)
2025-07-10 15:18:20,928 - INFO - Recovered file: recovered_000016_20250710_151820.zip (ZIP Archive/Office Document, 834817 bytes)
2025-07-10 15:18:20,941 - INFO - Recovered file: recovered_000017_20250710_151820.doc (MS Office Document (Legacy), 68096 bytes)
2025-07-10 15:18:20,950 - INFO - Recovered file: recovered_000018_20250710_151820.zip (ZIP Archive/Office Document, 56820 bytes)
2025-07-10 15:18:20,958 - INFO - Recovered file: recovered_000019_20250710_151820.pdf (PDF Document, 248450 bytes)
2025-07-10 15:18:20,967 - INFO - Recovered file: recovered_000020_20250710_151820.doc (MS Office Document (Legacy), 58880 bytes)
2025-07-10 15:18:20,975 - INFO - Recovered file: recovered_000021_20250710_151820.doc (MS Office Document (Legacy), 58880 bytes)
2025-07-10 15:18:20,980 - INFO - Recovered file: recovered_000022_20250710_151820.zip (ZIP Archive/Office Document, 68248 bytes)
2025-07-10 15:18:20,987 - INFO - Recovered file: recovered_000023_20250710_151820.docx (Unknown File Type, 102209 bytes)
2025-07-10 15:18:20,995 - INFO - Recovered file: recovered_000024_20250710_151820.zip (ZIP Archive/Office Document, 107295 bytes)
2025-07-10 15:18:21,002 - INFO - Recovered file: recovered_000025_20250710_151821.docx (Unknown File Type, 107381 bytes)
2025-07-10 15:18:21,008 - INFO - Recovered file: recovered_000026_20250710_151821.zip (ZIP Archive/Office Document, 107309 bytes)
2025-07-10 15:18:21,013 - INFO - Recovered file: recovered_000027_20250710_151821.docx (Unknown File Type, 107399 bytes)
2025-07-10 15:18:21,017 - INFO - Recovered file: recovered_000028_20250710_151821.docx (Unknown File Type, 107392 bytes)
2025-07-10 15:18:21,024 - INFO - Recovered file: recovered_000029_20250710_151821.unknown (Unknown File Type, 108927 bytes)
2025-07-10 15:18:21,030 - INFO - Recovered file: recovered_000030_20250710_151821.docx (Unknown File Type, 15355 bytes)
2025-07-10 15:18:21,037 - INFO - Recovered file: recovered_000031_20250710_151821.zip (ZIP Archive/Office Document, 52153 bytes)
2025-07-10 15:18:21,040 - INFO - Recovered file: recovered_000032_20250710_151821.zip (ZIP Archive/Office Document, 52152 bytes)
2025-07-10 15:18:21,053 - INFO - Recovered file: recovered_000033_20250710_151821.doc (MS Office Document (Legacy), 52152 bytes)
2025-07-10 15:18:21,057 - INFO - Recovered file: recovered_000034_20250710_151821.doc (MS Office Document (Legacy), 52148 bytes)
2025-07-10 15:18:21,065 - INFO - Recovered file: recovered_000035_20250710_151821.doc (MS Office Document (Legacy), 52109 bytes)
2025-07-10 15:18:21,068 - INFO - Recovered file: recovered_000036_20250710_151821.zip (ZIP Archive/Office Document, 52148 bytes)
2025-07-10 15:18:21,077 - INFO - Recovered file: recovered_000037_20250710_151821.zip (ZIP Archive/Office Document, 52109 bytes)
2025-07-10 15:18:21,088 - INFO - Recovered file: recovered_000038_20250710_151821.zip (ZIP Archive/Office Document, 43064 bytes)
2025-07-10 15:18:21,095 - INFO - Recovered file: recovered_000039_20250710_151821.zip (ZIP Archive/Office Document, 60745 bytes)
2025-07-10 15:18:21,100 - INFO - Recovered file: recovered_000040_20250710_151821.pdf (PDF Document, 248450 bytes)
2025-07-10 15:18:21,107 - INFO - Recovered file: recovered_000041_20250710_151821.zip (ZIP Archive/Office Document, 71214 bytes)
2025-07-10 15:18:21,116 - INFO - Recovered file: recovered_000042_20250710_151821.pdf (PDF Document, 136926 bytes)
2025-07-10 15:18:21,122 - INFO - Recovered file: recovered_000043_20250710_151821.zip (ZIP Archive/Office Document, 71214 bytes)
2025-07-10 15:18:21,144 - INFO - Recovered file: recovered_000044_20250710_151821.xlsx (Unknown File Type, 2773168 bytes)
2025-07-10 15:18:21,165 - INFO - Recovered file: recovered_000045_20250710_151821.zip (ZIP Archive/Office Document, 2781299 bytes)
2025-07-10 15:18:21,205 - INFO - Recovered file: recovered_000046_20250710_151821.zip (ZIP Archive/Office Document, 2781295 bytes)
2025-07-10 15:18:21,262 - INFO - Recovered file: recovered_000047_20250710_151821.zip (ZIP Archive/Office Document, 2781297 bytes)
2025-07-10 15:18:21,286 - INFO - Recovered file: recovered_000048_20250710_151821.zip (ZIP Archive/Office Document, 2781296 bytes)
2025-07-10 15:18:21,311 - INFO - Recovered file: recovered_000049_20250710_151821.zip (ZIP Archive/Office Document, 2781265 bytes)
2025-07-10 15:18:21,335 - INFO - Recovered file: recovered_000050_20250710_151821.zip (ZIP Archive/Office Document, 2781263 bytes)
2025-07-10 15:18:21,355 - INFO - Recovered file: recovered_000051_20250710_151821.zip (ZIP Archive/Office Document, 2781264 bytes)
2025-07-10 15:18:21,381 - INFO - Recovered file: recovered_000052_20250710_151821.zip (ZIP Archive/Office Document, 2784435 bytes)
2025-07-10 15:18:21,402 - INFO - Recovered file: recovered_000053_20250710_151821.xlsx (Unknown File Type, 2785122 bytes)
2025-07-10 15:18:21,423 - INFO - Recovered file: recovered_000054_20250710_151821.xlsx (Unknown File Type, 2784924 bytes)
2025-07-10 15:18:21,439 - INFO - Recovered file: recovered_000055_20250710_151821.zip (ZIP Archive/Office Document, 2785385 bytes)
2025-07-10 15:18:21,466 - INFO - Recovered file: recovered_000056_20250710_151821.xlsx (Unknown File Type, 2784923 bytes)
2025-07-10 15:18:21,488 - INFO - Recovered file: recovered_000057_20250710_151821.zip (ZIP Archive/Office Document, 2785200 bytes)
2025-07-10 15:18:21,520 - INFO - Recovered file: recovered_000058_20250710_151821.zip (ZIP Archive/Office Document, 2785409 bytes)
2025-07-10 15:18:21,561 - INFO - Recovered file: recovered_000059_20250710_151821.zip (ZIP Archive/Office Document, 2781542 bytes)
2025-07-10 15:18:21,587 - INFO - Recovered file: recovered_000060_20250710_151821.xlsx (Unknown File Type, 2781438 bytes)
2025-07-10 15:18:21,606 - INFO - Recovered file: recovered_000061_20250710_151821.zip (ZIP Archive/Office Document, 2781354 bytes)
2025-07-10 15:18:21,632 - INFO - Recovered file: recovered_000062_20250710_151821.zip (ZIP Archive/Office Document, 2781326 bytes)
2025-07-10 15:18:21,651 - INFO - Recovered file: recovered_000063_20250710_151821.zip (ZIP Archive/Office Document, 2781326 bytes)
2025-07-10 15:18:21,679 - INFO - Recovered file: recovered_000064_20250710_151821.zip (ZIP Archive/Office Document, 2781295 bytes)
2025-07-10 15:18:21,707 - INFO - Recovered file: recovered_000065_20250710_151821.zip (ZIP Archive/Office Document, 2773162 bytes)
2025-07-10 15:18:21,740 - INFO - Recovered file: recovered_000066_20250710_151821.zip (ZIP Archive/Office Document, 2772357 bytes)
2025-07-10 15:18:21,757 - INFO - Recovered file: recovered_000067_20250710_151821.xlsx (Unknown File Type, 2772537 bytes)
2025-07-10 15:18:21,779 - INFO - Recovered file: recovered_000068_20250710_151821.xlsx (Unknown File Type, 2772537 bytes)
2025-07-10 15:18:21,810 - INFO - Recovered file: recovered_000069_20250710_151821.xlsx (Unknown File Type, 2772537 bytes)
2025-07-10 15:18:21,840 - INFO - Recovered file: recovered_000070_20250710_151821.zip (ZIP Archive/Office Document, 2773161 bytes)
2025-07-10 15:18:21,866 - INFO - Recovered file: recovered_000071_20250710_151821.zip (ZIP Archive/Office Document, 2767218 bytes)
2025-07-10 15:18:21,872 - INFO - Recovered file: recovered_000072_20250710_151821.zip (ZIP Archive/Office Document, 48374 bytes)
2025-07-10 15:18:21,880 - INFO - Recovered file: recovered_000073_20250710_151821.zip (ZIP Archive/Office Document, 47945 bytes)
2025-07-10 15:18:21,880 - INFO - Recovered file: recovered_000074_20250710_151821.zip (ZIP Archive/Office Document, 47946 bytes)
2025-07-10 15:18:21,896 - INFO - Recovered file: recovered_000075_20250710_151821.zip (ZIP Archive/Office Document, 47946 bytes)
